Date,Price,Open,High,Low,Vol.,Change %,Sorting order
02/24/2014,79,79,79,79,,0.00%,1378
02/25/2014,79.8,75,79.8,75,1.00K,1.01%,1377
02/26/2014,77.7,77.7,77.7,77.7,0.00K,-2.63%,1376
02/28/2014,80,77.7,80,77.7,0.24K,2.96%,1375
03/03/2014,80,80,80,80,0.12K,0.00%,1374
03/04/2014,81.9,79,82.3,77.2,2.73K,2.38%,1373
03/05/2014,80.5,80.5,80.5,80.5,,-1.71%,1372
03/06/2014,81,81,81,81,0.22K,0.62%,1371
03/07/2014,78.1,78.1,78.1,78.1,0.02K,-3.58%,1370
03/10/2014,78.1,78.1,78.1,78.1,,0.00%,1369
03/11/2014,77,77.2,77.2,77,3.04K,-1.41%,1368
03/12/2014,80.5,80.4,80.5,80.4,0.01K,4.55%,1367
03/13/2014,77,77,77,77,1.30K,-4.35%,1366
03/14/2014,80.5,79.9,80.5,79.9,1.51K,4.55%,1365
03/17/2014,80.4,80.4,80.4,80.4,,-0.12%,1364
03/18/2014,80.4,80.4,80.4,80.4,,0.00%,1363
03/19/2014,81,77.2,81.4,77,0.64K,0.75%,1362
03/20/2014,81,81,81,81,0.00K,0.00%,1361
03/21/2014,80,80.8,80.9,80,0.12K,-1.23%,1360
03/24/2014,78.5,80,80,78.5,0.21K,-1.88%,1359
03/25/2014,80,77.5,80,77.5,0.10K,1.91%,1358
03/26/2014,79.9,78.2,79.9,78.2,0.25K,-0.12%,1357
03/27/2014,79.9,79.9,79.9,79.9,0.40K,0.00%,1356
03/28/2014,80,78.2,80,78,2.23K,0.13%,1355
03/31/2014,79.5,77.6,79.5,77.6,0.78K,-0.63%,1354
04/01/2014,79.4,79.4,79.4,79.4,0.00K,-0.13%,1353
04/02/2014,78,78,78,78,0.08K,-1.76%,1352
04/03/2014,78.9,78,78.9,75,427.58K,1.15%,1351
04/04/2014,77.9,74,77.9,73,0.53K,-1.27%,1350
04/07/2014,79.9,78.9,79.9,78.9,0.20K,2.57%,1349
04/08/2014,79,79,79.9,79,1.50K,-1.13%,1348
04/09/2014,79.6,79.6,79.6,79.6,,0.76%,1347
04/10/2014,77,77.9,77.9,77,0.30K,-3.27%,1346
04/11/2014,77.9,77.8,77.9,77.8,0.10K,1.17%,1345
04/16/2014,77,77,77,77,0.07K,-1.16%,1344
04/17/2014,76.1,77,77,76,0.68K,-1.17%,1343
04/21/2014,76.7,76.5,76.7,75.8,0.05K,0.79%,1342
04/22/2014,75.6,75.8,76.7,75.6,0.29K,-1.43%,1341
04/23/2014,76.5,75.6,77,75.6,0.59K,1.19%,1340
04/24/2014,75,77,77,75,0.24K,-1.96%,1339
04/25/2014,73.1,73.4,73.4,73.1,0.10K,-2.53%,1338
04/28/2014,73.6,73.6,73.6,73.6,0.01K,0.68%,1337
04/29/2014,76.3,73.2,76.3,73,1.92K,3.67%,1336
04/30/2014,76.5,73.3,76.5,73.3,0.60K,0.26%,1335
05/02/2014,76,76,76,76,0.26K,-0.65%,1334
05/05/2014,76,76.5,76.5,74.2,0.67K,0.00%,1333
05/06/2014,74.6,76,76,74.6,0.00K,-1.84%,1332
05/07/2014,76,74,76,74,0.30K,1.88%,1331
05/08/2014,77.9,76,77.9,76,1.00K,2.50%,1330
05/09/2014,74.2,75.5,77,74.2,0.36K,-4.75%,1329
